Title,Genres,IMDb,Directors,Country,Language
The Frontiersmen,Romance,6.5,['Lesley Selander'],['United States'],['English']
The Frontiersmen,Western,6.5,['Lesley Selander'],['United States'],['English']
Blood and Lace,Horror,5.6,['Philip S. Gilbert'],['United States'],['English']
A Curry on an American Plate,Comedy,6.4,['San Banarje'],['United States'],"['English', 'Hindi']"
A Curry on an American Plate,Family,6.4,['San Banarje'],['United States'],"['English', 'Hindi']"
A Curry on an American Plate,Music,6.4,['San Banarje'],['United States'],"['English', 'Hindi']"
Beyond Atlantis,Action,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Beyond Atlantis,Adventure,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Beyond Atlantis,Fantasy,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Beyond Atlantis,Horror,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Beyond Atlantis,Mystery,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Beyond Atlantis,Sci-Fi,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Beyond Atlantis,Thriller,4.4,['Eddie Romero'],"['Philippines', 'United States']",['English']
Mr. Blue Sky,Drama,7.3,['Sarah Gurfield'],['United States'],['English']
California Winter,Drama,6.1,['Odin Ozdil'],['United States'],['English']
California Winter,History,6.1,['Odin Ozdil'],['United States'],['English']
In the Garden of Sounds,Documentary,7.4,['Nicola Bellucci'],['Switzerland'],['Swiss German']
Runaway Heart,Comedy,5.4,['James Frawley'],['United States'],['English']
Runaway Heart,Crime,5.4,['James Frawley'],['United States'],['English']
Bigfoot's Wild Weekend,Sci-Fi,2.6,['Jeff Murray'],['United States'],['English']
Keith Robinson: Back of the Bus Funny,Comedy,5.8,['Leslie Small'],['United States'],['English']
Kansas Pacific,Western,5.7,['Ray Nazarro'],['United States'],['English']
Hired to Kill,Action,4.6,"['Nico Mastorakis', 'Peter Rader']",['United States'],['English']
Hired to Kill,Thriller,4.6,"['Nico Mastorakis', 'Peter Rader']",['United States'],['English']
Guantanamero,Drama,4.8,['Vicente Peñarrocha'],"['United Kingdom', 'Spain']","['Spanish', 'Arabic', 'English']"
Guantanamero,Fantasy,4.8,['Vicente Peñarrocha'],"['United Kingdom', 'Spain']","['Spanish', 'Arabic', 'English']"
Guantanamero,Mystery,4.8,['Vicente Peñarrocha'],"['United Kingdom', 'Spain']","['Spanish', 'Arabic', 'English']"
Dressed as a Girl,Documentary,5.2,['Colin Rothbart'],['United Kingdom'],['English']
Dressed as a Girl,Biography,5.2,['Colin Rothbart'],['United Kingdom'],['English']
Dressed as a Girl,Comedy,5.2,['Colin Rothbart'],['United Kingdom'],['English']
Dressed as a Girl,Drama,5.2,['Colin Rothbart'],['United Kingdom'],['English']
Murder on the Campus,Mystery,5.6,['Michael Winner'],['United Kingdom'],['English']
Loaded Pistols,Mystery,6.6,['John English'],['United States'],['English']
Loaded Pistols,Western,6.6,['John English'],['United States'],['English']
The Pier,Drama,6.5,['unknown'],['Spain'],['Spanish']
The Pier,Mystery,6.5,['unknown'],['Spain'],['Spanish']
The Nesting,Horror,4.8,['Armand Weston'],['United States'],['English']
Free of Eden,Drama,6.1,['Leon Ichaso'],['United States'],['English']
Future Kick,Action,4.0,['Damian Klaus'],['United States'],['English']
Future Kick,Sci-Fi,4.0,['Damian Klaus'],['United States'],['English']
Suicide Squad,Action,4.8,['David Ayer'],['United States'],"['English', 'Japanese', 'Spanish']"
Suicide Squad,Adventure,4.8,['David Ayer'],['United States'],"['English', 'Japanese', 'Spanish']"
