Title,Country,IMDb
All the Bright Places,United States,6.5
Elena,Russia,7.6
Underworld: Rise of the Lycans,United States,6.6
Underworld: Rise of the Lycans,New Zealand,6.6
Talaash,India,7.2
Kevin Hart: Laugh at My Pain,United States,7.4
Gridiron Gang,United States,6.9
Hot Rod,United States,6.7
Bee Movie,United States,6.1
Bee Movie,Australia,6.1
Trash,United Kingdom,7.2
Trash,Brazil,7.2
Trash,Germany,7.2
The Photographer of Mauthausen,Spain,6.7
He's Just Not That Into You,Germany,6.4
He's Just Not That Into You,United States,6.4
Forks Over Knives,United States,7.7
Bandits,United States,6.5
Sanju,India,7.8
Blame!,Japan,6.7
Quincy,United States,7.6
DragonHeart,United States,6.5
Bad Day for the Cut,United Kingdom,6.5
We the Animals,United States,6.9
Soul Surfer,United States,7.0
Rocko's Modern Life: Static Cling,United States,7.0
Haywire,Ireland,5.8
Haywire,United States,5.8
Pink,India,8.1
Stuart Little,Germany,5.9
Stuart Little,United States,5.9
Cutie and the Boxer,United States,7.2
The World Is Yours,France,6.4
Berlin Syndrome,Australia,6.3
Furie,United States,5.8
Furie,China,5.8
Furie,United Kingdom,5.8
Big Miracle,United States,6.5
Big Miracle,United Kingdom,6.5
Tramps,United States,6.5
Parmanu: The Story of Pokhran,India,7.7
Kursk,France,6.6
Kursk,Belgium,6.6
Kursk,Luxembourg,6.6
Kursk,Romania,6.6
Kursk,Canada,6.6
Kursk,United States,6.6
Deep Impact,United States,6.2
The Kindergarten Teacher,United States,6.7
The Kindergarten Teacher,Israel,6.7
The Kindergarten Teacher,United Kingdom,6.7
The Kindergarten Teacher,Canada,6.7
Stonehearst Asylum,United States,6.8
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",unknown,7.8
The Wandering Earth,China,6.0
Bon Cop Bad Cop,Canada,6.8
Melvin Goes to Dinner,United States,6.8
Chappaquiddick,United States,6.5
Chappaquiddick,Sweden,6.5
Miles Davis: Birth of the Cool,United States,7.4
Mission Control: The Unsung Heroes of Apollo,United States,7.5
Mission Control: The Unsung Heroes of Apollo,United Kingdom,7.5
Dukhtar,Pakistan,7.0
