Title,Directors,IMDb
La Bamba,Luis Valdez,6.9
Public Enemies,Michael Mann,7.0
Supersonic,Mat Whitecross,7.9
The Edge of Democracy,Petra Costa,7.1
The Polar Express,Robert Zemeckis,6.6
Under the Skin,Jonathan Glazer,6.3
Crip Camp: A Disability Revolution,James Lebrecht,7.8
Crip Camp: A Disability Revolution,Nicole Newnham,7.8
Tell Me Who I Am,Ed Perkins,7.6
Hey Arnold! The Jungle Movie,Raymie Muzquiz,7.6
Hey Arnold! The Jungle Movie,Stu Livingston,7.6
Zack and Miri Make a Porno,Kevin Smith,6.5
The Score,Frank Oz,6.8
Hamburger Hill,John Irvin,6.7
9,Shane Acker,7.1
Undefeated,Daniel Lindsay,7.7
Undefeated,T.J. Martin,7.7
Team Foxcatcher,Jon Greenhalgh,7.3
A Shaun the Sheep Movie: Farmageddon,Will Becher,6.9
A Shaun the Sheep Movie: Farmageddon,Richard Phelan,6.9
April and the Extraordinary World,Christian Desmares,7.3
April and the Extraordinary World,Franck Ekinci,7.3
The Highwaymen,John Lee Hancock,6.9
Legend,Brian Helgeland,6.9
Boy & the World,Alê Abreu,7.6
Creep 2,Patrick Brice,6.4
Terminator 3: Rise of the Machines,Jonathan Mostow,6.3
Unrest,Jason Todd Ipson,7.7
Guru,Mani Ratnam,7.7
Louis C.K. 2017,Louis C.K.,7.6
A Twelve-Year Night,Álvaro Brechner,7.6
Happy as Lazzaro,Alice Rohrwacher,7.6
"What Happened, Miss Simone?",Liz Garbus,7.6
Blue Jay,Alex Lehmann,7.3
1922,Zak Hilditch,6.3
Hancock,Peter Berg,6.4
Circus of Books,Rachel Mason,7.1
"Hail, Caesar!",Ethan Coen,6.3
"Hail, Caesar!",Joel Coen,6.3
The Pixar Story,Leslie Iwerks,7.8
Child's Play,Lars Klevberg,6.6
Springsteen On Broadway,Thom Zimny,8.5
The Angry Birds Movie 2,Thurop Van Orman,6.4
The Angry Birds Movie 2,John Rice,6.4
Obvious Child,Gillian Robespierre,6.8
Awe!,Prasanth Varma,7.8
American Honey,Andrea Arnold,7.0
Last Breath,Richard da Costa,7.7
Last Breath,Alex Parkinson,7.7
Udta Punjab,Abhishek Chaubey,7.8
Den of Thieves,Christian Gudegast,7.0
Wadjda,Haifaa Al-Mansour,7.5
The Spiderwick Chronicles,Mark Waters,6.5
The Christmas Chronicles,Clay Kaytis,7.1
Turbo,David Soren,6.4
My Girl,Howard Zieff,6.9
22-Jul,Paul Greengrass,6.8
Adam Sandler: 100% Fresh,Steven Brill,7.6
Adam Sandler: 100% Fresh,Nicholaus Goossen,7.6
Remember,Atom Egoyan,7.5
Triple Frontier,J.C. Chandor,6.4
Bombshell: The Hedy Lamarr Story,Alexandra Dean,7.4
Paddleton,Alex Lehmann,7.2
Bad Boys II,Michael Bay,6.6
Sour Grapes,Larry David,7.3
Betting on Zero,Ted Braun,7.2
Delhi Belly,Abhinay Deo,7.5
Delhi Belly,Akshat Verma,7.5
Being Elmo: A Puppeteer's Journey,Constance Marks,7.6
