Title,Language,IMDb
Terminator 3: Rise of the Machines,English,6.3
Unrest,English,7.7
Guru,Hindi,7.7
Louis C.K. 2017,English,7.6
A Twelve-Year Night,Spanish,7.6
Happy as Lazzaro,Italian,7.6
Happy as Lazzaro,English,7.6
"What Happened, Miss Simone?",English,7.6
"What Happened, Miss Simone?",French,7.6
Blue Jay,English,7.3
1922,English,6.3
Hancock,Vietnamese,6.4
Hancock,English,6.4
Hancock,Japanese,6.4
Circus of Books,English,7.1
"Hail, Caesar!",English,6.3
The Pixar Story,English,7.8
Child's Play,English,6.6
Child's Play,Vietnamese,6.6
Springsteen On Broadway,English,8.5
The Angry Birds Movie 2,English,6.4
Obvious Child,English,6.8
Awe!,Telugu,7.8
American Honey,English,7.0
Last Breath,English,7.7
Udta Punjab,Hindi,7.8
Den of Thieves,English,7.0
Den of Thieves,Polynesian,7.0
Den of Thieves,Spanish,7.0
Wadjda,Arabic,7.5
The Spiderwick Chronicles,English,6.5
The Christmas Chronicles,English,7.1
The Christmas Chronicles,Spanish,7.1
The Christmas Chronicles,French,7.1
The Christmas Chronicles,Romanian,7.1
Turbo,English,6.4
My Girl,English,6.9
22-Jul,English,6.8
22-Jul,Norwegian,6.8
Adam Sandler: 100% Fresh,English,7.6
Remember,English,7.5
Remember,German,7.5
Triple Frontier,English,6.4
Triple Frontier,Spanish,6.4
Triple Frontier,Portuguese,6.4
Bombshell: The Hedy Lamarr Story,English,7.4
Bombshell: The Hedy Lamarr Story,German,7.4
Paddleton,English,7.2
Bad Boys II,English,6.6
Bad Boys II,Spanish,6.6
Bad Boys II,Russian,6.6
Sour Grapes,English,7.3
Betting on Zero,English,7.2
Betting on Zero,Spanish,7.2
Delhi Belly,English,7.5
Delhi Belly,Hindi,7.5
Being Elmo: A Puppeteer's Journey,English,7.6
Williams,English,7.6
It Comes at Night,English,6.2
Cuba and the Cameraman,English,8.2
Cuba and the Cameraman,Spanish,8.2
Creep,English,6.3
The Interview,English,6.5
The Interview,Korean,6.5
Bobby Robson: More Than a Manager,English,8.2
Outbreak,English,6.6
Outbreak,Korean,6.6
Outbreak,French,6.6
Black Snake Moan,English,6.9
Bright,English,6.3
Bright,Spanish,6.3
Cargo,English,6.3
Cargo,Aboriginal,6.3
Even the Rain,Spanish,7.4
Even the Rain,Quechua,7.4
Even the Rain,English,7.4
Candyman,English,6.6
Mary and the Witch's Flower,Japanese,6.8
Calibre,English,6.7
First They Killed My Father,Khmer,7.2
First They Killed My Father,English,7.2
First They Killed My Father,French,7.2
Us and Them,Mandarin,7.3
Up in Smoke,English,7.0
Up in Smoke,Spanish,7.0
Final Destination,English,6.7
Final Destination,French,6.7
Kill the Messenger,English,6.9
Operation Odessa,unknown,7.8
The American Meme,English,7.3
Outlaw King,English,6.9
Outlaw King,French,6.9
Outlaw King,Scottish Gaelic,6.9
21,English,6.8
Holding the Man,English,7.4
Krisha,English,7.2
De Palma,English,7.4
Dear Ex,Mandarin,7.4
Tomorrow Never Dies,English,6.5
Tomorrow Never Dies,German,6.5
Tomorrow Never Dies,Danish,6.5
Tomorrow Never Dies,Mandarin,6.5
Tomorrow Never Dies,Cantonese,6.5
Veronica,English,6.2
The Cakemaker,English,7.2
The Cakemaker,Hebrew,7.2
The Cakemaker,German,7.2
Instructions Not Included,Spanish,7.5
Instructions Not Included,English,7.5
Bleed for This,English,6.8
Bleed for This,French,6.8
Girl,French,7.2
Girl,Flemish,7.2
Girl,English,7.2
The Naked Gun 2½: The Smell of Fear,Spanish,6.9
The Naked Gun 2½: The Smell of Fear,English,6.9
Bareilly's Barfi,Hindi,7.5
The Sky Is Pink,English,7.5
The Sky Is Pink,Hindi,7.5
Chitty Chitty Bang Bang,English,6.9
Chitty Chitty Bang Bang,German,6.9
Chitty Chitty Bang Bang,French,6.9
Chitty Chitty Bang Bang,Latin,6.9
A Wednesday!,Hindi,8.1
A Wednesday!,English,8.1
Jodhaa Akbar,Hindi,7.6
Jodhaa Akbar,Urdu,7.6
Handsome Devil,English,7.1
Handsome Devil,Latin,7.1
"Love, Rosie",English,7.2
Oceans,French,7.8
Oceans,English,7.8
The Ritual,English,6.3
The Ritual,Swedish,6.3
Super Dark Times,English,6.6
Tallulah,English,6.7
Other People,English,6.8
Alpha Dog,English,6.9
Spectral,English,6.3
Spectral,Russian,6.3
Spectral,Romanian,6.3
Spectral,Slovenian,6.3
The Babysitter,English,6.3
"Extremely Wicked, Shockingly Evil and Vile",English,6.6
Heneral Luna,Filipino,7.6
Heneral Luna,Tagalog,7.6
Heneral Luna,English,7.6
Heneral Luna,Spanish,7.6
Click,English,6.4
Click,Portuguese,6.4
Click,Japanese,6.4
The Duchess,English,6.9
